politician,id,timeStamp,analysis,location
Warren,1118550862417268736,2019-04-17 16:24:41,"Sentiment(polarity=0.18333333333333332, subjectivity=0.5166666666666667)","Washington, DC"
Warren,1118550860844425221,2019-04-17 16:24:41,"Sentiment(polarity=0.0, subjectivity=0.75)",Washington DC
Warren,1118550859024084992,2019-04-17 16:24:41,"Sentiment(polarity=1.0, subjectivity=1.0)",02906
Warren,1118550859019890689,2019-04-17 16:24:41,"Sentiment(polarity=0.25, subjectivity=0.5)",
Warren,1118550847493820417,2019-04-17 16:24:38,"Sentiment(polarity=0.18333333333333332, subjectivity=0.5166666666666667)",
Warren,1118550840095252480,2019-04-17 16:24:36,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)","Philadelphia, PA"
Warren,1118550839612719105,2019-04-17 16:24:36,"Sentiment(polarity=0.18333333333333332, subjectivity=0.5166666666666667)","California, USA"
Warren,1118550835108155394,2019-04-17 16:24:35,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",
Warren,1118550826224635905,2019-04-17 16:24:33,"Sentiment(polarity=0.0, subjectivity=0.0)","Lexington, KY"
Warren,1118550824521818112,2019-04-17 16:24:32,"Sentiment(polarity=0.05, subjectivity=0.25)","Virginia Beach, VA"
Warren,1118550823452270593,2019-04-17 16:24:32,"Sentiment(polarity=-0.375, subjectivity=0.75)","Dallas, TX"
Warren,1118550823292686337,2019-04-17 16:24:32,"Sentiment(polarity=-0.375, subjectivity=0.75)","Anaheim, CA"
Warren,1118550821275410435,2019-04-17 16:24:32,"Sentiment(polarity=0.5681818181818181, subjectivity=0.7272727272727273)","Washington, DC"
Warren,1118550814686105602,2019-04-17 16:24:30,"Sentiment(polarity=0.7, subjectivity=0.9)",United Kingdom
Warren,1118550814329536512,2019-04-17 16:24:30,"Sentiment(polarity=-0.375, subjectivity=0.75)","Hialeah, FL"
Warren,1118550798399500289,2019-04-17 16:24:26,"Sentiment(polarity=0.375, subjectivity=0.875)","Encinitas, CA"
Warren,1118550798101880833,2019-04-17 16:24:26,"Sentiment(polarity=0.39999999999999997, subjectivity=0.43333333333333335)","Austin, TX"
Warren,1118550797975834624,2019-04-17 16:24:26,"Sentiment(polarity=0.0, subjectivity=0.0)","Irvine, CA"
Warren,1118550797917102080,2019-04-17 16:24:26,"Sentiment(polarity=0.39999999999999997, subjectivity=0.43333333333333335)",Nicklechick Arkansas
Warren,1118550797699014656,2019-04-17 16:24:26,"Sentiment(polarity=0.18333333333333332, subjectivity=0.5166666666666667)",
